ObjectId,Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Total_Cases,NSW_Deaths,VIC_Deaths,QLD_Deaths,SA_Deaths,WA_Deaths,TAS_Deaths,NT_Deaths,ACT_Deaths,Total_Deaths,NSW_Tests,VIC_Tests,QLD_Tests,SA_Tests,WA_Tests,TAS_Tests,NT_Tests,ACT_Tests,NSW_Tests_Negative,VIC_Tests_Negative,QLD_Tests_Negative,SA_Tests_Negative,WA_Tests_Negative,TAS_Tests_Negative,NT_Tests_Negative,ACT_Tests_Negative,Total_Tests,Total_Tests_Negative
589,1/23/2020 0:00,,,,0,,,,,0,,,,,,,,,0,,,,6,,,,,,,,,,,,,6,0
590,1/25/2020 0:00,3,1,,,,,,,4,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0
591,1/27/2020 0:00,4,,,,,,,,4,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0
592,1/28/2020 0:00,,,0,,,,,,0,,,,,,,,,0,,,6,6,,,,,,,,,,,,,12,0
593,1/29/2020 0:00,,2,1,0,,,,,3,,,,,,,,,0,,,,10,,,,,,,,,,,,,10,0
594,1/30/2020 0:00,4,3,2,,,,,,9,,,,,,,,,0,74,79,,,,,,,74,,,,,,,,153,74
595,1/31/2020 0:00,4,,,0,,,,,4,,,,,,,,,0,76,,,17,,,,,76,,,,,,,,93,76
596,2/1/2020 0:00,4,4,,0,,,,,8,,,,,,,,,0,100,162,,25,,,,,100,,,,,,,,287,100
597,2/2/2020 0:00,4,,,2,,,,,6,,,,,,,,,0,128,,,34,,,,,128,,,,,,,,162,128
598,2/3/2020 0:00,4,,,2,,,,,6,,,,,,,,,0,158,,,56,,,,,158,,,,,,,,214,158
599,2/4/2020 0:00,4,,3,2,,,,,9,,,,,,,,,0,199,,,88,,,,,199,,,,,,,,287,199
600,2/5/2020 0:00,4,,4,,,,,,8,,,,,,,,,0,335,,,,,,,,335,,,,,,,,335,335
